Province/State,Country/Region,Latitude,Longitude,Date of action,Action type
Hubei,China,30.9756,112.2707,2020-01-24,lockdown
,Italy,41.8719,12.5674,2020-03-09,lockdown
,Iran,32.4279,53.688,,
,"Korea, South",35.9078,127.7669,,
,Spain,40.4637,-3.7492,2020-03-15,lockdown
,Germany,51.1657,10.4515,,
France,France,46.2276,2.2137,,
,Switzerland,46.8182,8.2275,,
Guangdong,China,23.3417,113.4244,,
Henan,China,33.882,113.614,2020-02-04,lockdown
Zhejiang,China,29.1832,120.0934,2020-02-02,lockdown
United Kingdom,United Kingdom,55.3781,-3.436,,
,Norway,60.472,8.4689,,
Hunan,China,27.6104,111.7088,,
Anhui,China,31.8257,117.2264,2020-02-03,lockdown
,Sweden,60.1282,18.6435,,
,Netherlands,52.1326,5.2913,,
Jiangxi,China,27.614,115.7221,2020-02-06,lockdown
Denmark,Denmark,56.2639,9.5018,,
,Japan,36.2048,138.2529,,
Shandong,China,36.3427,118.1498,2020-02-03,lockdown
Diamond Princess,Cruise Ship,35.4498,139.6649,,
,Belgium,50.5039,4.4699,,
,Austria,47.5162,14.5501,,
Jiangsu,China,32.9711,119.455,2020-02-05,lockdown
Chongqing,China,30.0572,107.874,,
Washington,US,47.4009,-121.4905,,
Sichuan,China,30.6171,102.7103,2020-02-05,lockdown
New York,US,42.1657,-74.9481,,
Heilongjiang,China,47.862,127.7615,2020-02-04,lockdown
Beijing,China,40.1824,116.4142,,
Shanghai,China,31.202,121.4491,,
California,US,36.1162,-119.6816,,
,Qatar,25.3548,51.1839,,
Hebei,China,38.0428,114.5149,2020-02-07,lockdown
Fujian,China,26.0789,117.9874,2020-02-04,lockdown
Guangxi,China,23.8298,108.7881,2020-02-02,lockdown
Shaanxi,China,35.1917,108.8701,2020-02-02,lockdown
,Malaysia,4.2105,101.9758,,
,Greece,39.0742,21.8243,,
,Finland,61.9241,25.7482,,
,Singapore,1.3521,103.8198,,
,Bahrain,26.0667,50.5577,,
,Israel,31.0461,34.8516,,
,Czechia,49.8175,15.473,,
,Slovenia,46.1512,14.9955,,
Yunnan,China,24.974,101.487,,
,Portugal,39.3999,-8.2245,,
Hainan,China,19.1959,109.7453,,
,Iceland,64.9631,-19.0208,,
,Brazil,-14.235,-51.9253,,
Guizhou,China,26.8154,106.8748,,
Hong Kong,China,22.3,114.2,,
Massachusetts,US,42.2302,-71.5301,,
Tianjin,China,39.3054,117.323,2020-02-09,lockdown
Shanxi,China,37.5777,112.2922,,
Gansu,China,36.0611,103.8343,,
,Ireland,53.1424,-7.6921,,
Liaoning,China,41.2956,122.6085,2020-02-06,lockdown
,Romania,45.9432,24.9668,,
,Estonia,58.5953,25.0136,,
New South Wales,Australia,-33.8688,151.2093,,
,Philippines,12.8797,121.774,,
,Iraq,33.2232,43.6793,,
,Egypt,26.8206,30.8025,,
,Kuwait,29.3117,47.4818,,
,Poland,51.9194,19.1451,,
,Saudi Arabia,23.8859,45.0792,,
,India,20.5937,78.9629,,
Colorado,US,39.0598,-105.3111,,
,Indonesia,-0.7893,113.9213,,
Jilin,China,43.6661,126.1923,2020-02-06,lockdown
,Lebanon,33.8547,35.8623,,
,United Arab Emirates,23.4241,53.8478,,
,Thailand,15.87,100.9925,,
,San Marino,43.9424,12.4578,,
Ontario,Canada,51.2538,-85.3232,,
Louisiana,US,31.1695,-91.8678,,
Xinjiang,China,41.1129,85.2401,,
Florida,US,27.7663,-81.6868,,
Inner Mongolia,China,44.0935,113.9448,,
Ningxia,China,37.2692,106.1655,,
New Jersey,US,40.2989,-74.521,,
Georgia,US,33.0406,-83.6431,,
British Columbia,Canada,53.7267,-127.6476,,
Illinois,US,40.3495,-88.9861,,
,Chile,-35.6751,-71.543,,
,Russia,61.524,105.3188,,
Texas,US,31.0545,-97.5635,,
,Taiwan*,23.7,121,,
,Vietnam,14.0583,108.2772,,
,Luxembourg,49.8153,6.1296,,
Victoria,Australia,-37.8136,144.9631,,
Pennsylvania,US,40.5908,-77.2098,,
Queensland,Australia,-28.0167,153.4,,
,Serbia,44.0165,21.0059,,
Diamond Princess,US,35.4437,139.638,2020-02-04,lockdown
,Slovakia,48.669,19.699,,
,Bulgaria,42.7339,25.4858,,
Virginia,US,37.7693,-78.17,,
,Brunei,4.5353,114.7277,,
,Albania,41.1533,20.1683,,
,Croatia,45.1,15.2,,
,Peru,-9.19,-75.0152,,
,South Africa,-30.5595,22.9375,,
,Algeria,28.0339,1.6596,,
,Panama,8.538,-80.7821,,
,Argentina,-38.4161,-63.6167,,
Oregon,US,44.572,-122.0709,,
Tennessee,US,35.7478,-86.6923,,
,Pakistan,30.3753,69.3451,,
,Georgia,42.3154,43.3569,,
,Hungary,47.1625,19.5033,,
Alberta,Canada,53.9333,-116.5765,,
,Ecuador,-1.8312,-78.1834,,
,Belarus,53.7098,27.9534,,
Wisconsin,US,44.2685,-89.6165,,
,Costa Rica,9.7489,-83.7534,,
,Cyprus,35.1264,33.4299,,
,Latvia,56.8796,24.6032,,
,Mexico,23.6345,-102.5528,,
Maryland,US,39.0639,-76.8021,,
Ohio,US,40.3888,-82.7649,,
Michigan,US,43.3266,-84.5361,,
North Carolina,US,35.6301,-79.8064,,
,Colombia,4.5709,-74.2973,,
Connecticut,US,41.5978,-72.7554,,
Grand Princess,US,37.6489,-122.6655,,
Minnesota,US,45.6945,-93.9002,,
Nevada,US,38.3135,-117.0554,,
Rhode Island,US,41.6809,-71.5118,,
South Australia,Australia,-34.9285,138.6007,,
,Oman,21.4735,55.9754,,
South Carolina,US,33.8569,-80.945,,
,Armenia,40.0691,45.0382,,
,Bosnia and Herzegovina,43.9159,17.6791,,
Qinghai,China,35.7452,95.9956,,
,Malta,35.9375,14.3754,,
,Tunisia,33.8869,9.5375,,
Western Australia,Australia,-31.9505,115.8605,,
Quebec,Canada,52.9399,-73.5491,,
,Morocco,31.7917,-7.0926,,
Iowa,US,42.0115,-93.2105,,
Indiana,US,39.8494,-86.2583,,
,Azerbaijan,40.1431,47.5769,,
,North Macedonia,41.6086,21.7453,,
Kentucky,US,37.6681,-84.6701,,
Nebraska,US,41.1254,-98.2681,,
,Moldova,47.4116,28.3699,,
Arizona,US,33.7298,-111.4312,,
Arkansas,US,34.9697,-92.3731,,
,Afghanistan,33.9391,67.71,,
,Dominican Republic,18.7357,-70.1627,,
,Bolivia,-16.2902,-63.5887,,
Macau,China,22.1667,113.55,,
,Maldives,3.2028,73.2207,,
,Senegal,14.4974,-14.4524,,
,Sri Lanka,7.8731,80.7718,,
District of Columbia,US,38.8974,-77.0268,,
New Mexico,US,34.8405,-106.2485,,
Utah,US,40.15,-111.8624,,
Faroe Islands,Denmark,61.8926,-6.9118,,
,Martinique,14.6415,-61.0242,,
South Dakota,US,44.2998,-99.4388,,
,Jamaica,18.1096,-77.2975,,
,Lithuania,55.1694,23.8813,,
Kansas,US,38.5266,-96.7265,,
,Cambodia,12.5657,104.991,,
New Hampshire,US,43.4525,-71.5639,,
,Kazakhstan,48.0196,66.9237,,
,New Zealand,-40.9006,174.886,,
,Paraguay,-23.4425,-58.4438,,
,Reunion,-21.1151,55.5364,,
Alabama,US,32.3182,-86.9023,,
Delaware,US,39.3185,-75.5071,,
Mississippi,US,32.7416,-89.6787,,
Tasmania,Australia,-41.4545,145.9707,,
Fench Guiana,France,4,-53,,
,French Guiana,3.9339,-53.1258,,
,Turkey,38.9637,35.2433,,
Montana,US,46.9219,-110.4544,,
